date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,positiveIncrease,negativeIncrease,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease
20200702,AK,1017,114892,,18,,,,1,,535,A,07-02-20 0:00,2020-07-02T00:00:00Z,07-01-20 20:00,14,,2020-07-02T00:00:00Z,115909,,,,39,1470,115909,1509,115909,0,0
20200702,AL,40111,379617,,843,2835,,826,,468,22082,B,07-02-20 11:00,2020-07-02T11:00:00Z,07-02-20 7:00,985,2835,2020-07-02T11:00:00Z,,,,39604,1149,4626,419728,5775,419728,13,32
20200702,AR,22075,301912,,272,1477,,,72,231,15698,A,07-02-20 14:46,2020-07-02T14:46:00Z,07-02-20 10:46,279,1477,2020-07-02T14:46:00Z,,,,22075,878,8251,323987,9129,323987,2,29
20200702,AS,0,696,,,,,,,,,C,6/27/2020 00:00,2020-06-27T00:00:00Z,01-06-26 20:00,0,,2020-06-27T00:00:00Z,,,,,0,0,696,0,696,0,0
20200702,AZ,87425,473414,,2938,4916,723,,488,,10137,A+,07-02-20 0:00,2020-07-02T00:00:00Z,07-01-20 20:00,1757,4916,2020-07-02T00:00:00Z,560384,,,86970,3333,7910,560839,11243,560839,37,79
20200702,CA,240195,4098523,,6812,,1934,,,,,B,07-02-20 0:00,2020-07-02T00:00:00Z,07-01-20 20:00,6163,,2020-07-02T00:00:00Z,4338718,,,240195,7538,77004,4338718,84542,4338718,73,0
20200702,CO,33029,300226,,262,5513,,,,,4524,A,07-01-20 0:00,2020-07-01T00:00:00Z,01-06-30 20:00,1520,5513,2020-07-01T00:00:00Z,,,,30133,314,5438,333255,5752,333255,0,24
20200702,CT,46646,442560,,101,10411,,,,,8210,B,07-01-20 20:30,2020-07-01T20:30:00Z,07-01-20 16:30,4326,10411,2020-07-01T20:30:00Z,487232,,,44672,74,11291,489206,11365,489206,2,143
20200702,DC,10390,90673,,120,,33,,28,,1465,A+,07-01-20 0:00,2020-07-01T00:00:00Z,01-06-30 20:00,554,,2020-07-01T00:00:00Z,,,,10390,25,1003,101063,1028,101063,1,0
20200702,DE,11731,103187,,67,,16,,,,6678,A+,07-01-20 18:00,2020-07-01T18:00:00Z,07-01-20 14:00,510,,2020-07-01T18:00:00Z,,,,10687,221,3313,114918,3534,114918,1,0
20200702,FL,169106,1863077,1683,,15454,,,,,,A,07-01-20 23:59,2020-07-01T23:59:00Z,07-01-20 19:59,3718,15454,2020-07-01T23:59:00Z,2449162,216375,2228207,169106,10109,41720,2032183,51829,2032183,68,329
20200702,GA,87709,795530,,1649,11500,,2389,,,,A,07-02-20 14:50,2020-07-02T14:50:00Z,07-02-20 10:50,2849,11500,2020-07-02T14:50:00Z,883239,79970,803269,87709,3472,24729,883239,28201,883239,22,225
20200702,GU,280,13653,,1,,,,,,179,B,07-01-20 22:10,2020-07-01T22:10:00Z,07-01-20 18:10,5,,2020-07-01T22:10:00Z,13925,,,272,13,136,13933,149,13933,0,0
20200702,HI,926,79364,,,116,,,,,741,D,07-01-20 18:00,2020-07-01T18:00:00Z,07-01-20 14:00,18,116,2020-07-01T18:00:00Z,94160,926,93234,926,9,1223,80290,1232,80290,0,3
20200702,IA,30209,287329,,145,,36,,18,,23993,A+,07-02-20 0:00,2020-07-02T00:00:00Z,07-01-20 20:00,718,,2020-07-02T00:00:00Z,,,,30209,758,6990,317538,7748,317538,1,0
20200702,ID,6370,88751,,,340,,118,,,4393,A,07-01-20 19:00,2020-07-01T19:00:00Z,07-01-20 15:00,92,340,2020-07-01T19:00:00Z,94537,,,5786,253,3828,95121,4081,95121,0,10
20200702,IL,145066,1492042,,1651,,349,,195,,,A,07-01-20 0:00,2020-07-01T00:00:00Z,01-06-30 20:00,7152,,2020-07-01T00:00:00Z,1636055,,,144013,0,0,1637108,0,1637108,0,0
20200702,IN,46387,450448,,644,7139,221,1493,89,,35405,A+,07-01-20 23:59,2020-07-01T23:59:00Z,07-01-20 19:59,2662,7139,2020-07-01T23:59:00Z,,,,46387,435,6684,496835,7119,496835,12,44
20200702,KS,14990,168183,,,1195,,367,,152,834,A,07-02-20 0:00,2020-07-02T00:00:00Z,07-01-20 20:00,272,1195,2020-07-02T00:00:00Z,,,,14443,0,0,183173,0,183173,0,43
20200702,KY,16079,369715,,430,2662,73,994,,,4726,B,07-02-20 0:00,2020-07-02T00:00:00Z,07-01-20 20:00,581,2662,2020-07-02T00:00:00Z,,,,15508,237,8467,385794,8704,385794,9,27
20200702,LA,61561,705813,,840,,,,91,,43026,B,07-02-20 13:00,2020-07-02T13:00:00Z,07-02-20 9:00,3255,,2020-07-02T13:00:00Z,,,,61561,1383,13903,767374,15286,767374,17,0
20200702,MA,109338,756920,,681,11392,113,,52,,,A+,07-02-20 10:00,2020-07-02T10:00:00Z,07-02-20 6:00,8132,11392,2020-07-02T10:00:00Z,1090482,,,104016,195,7628,866258,7823,866258,51,40
20200702,MD,68423,484752,,441,10939,149,,,,5013,A,07-02-20 10:00,2020-07-02T10:00:00Z,07-02-20 6:00,3212,10939,2020-07-02T10:00:00Z,675929,,,68423,505,10066,553175,10571,553175,7,37
20200702,ME,3328,97489,,30,354,9,,3,,2698,A+,07-01-20 23:59,2020-07-01T23:59:00Z,07-01-20 19:59,105,354,2020-07-01T23:59:00Z,100440,4026,96272,2951,34,3542,100817,3576,100817,0,3
20200702,MI,71678,1013459,,548,,193,,103,,51099,A+,07-02-20 0:00,2020-07-02T00:00:00Z,07-01-20 20:00,6212,,2020-07-02T00:00:00Z,1102412,88953,1013459,64675,589,22689,1085137,23278,1085137,14,0
20200702,MN,37210,593217,,274,4112,123,1266,,,32163,A,07-01-20 17:00,2020-07-01T17:00:00Z,07-01-20 13:00,1495,4112,2020-07-01T17:00:00Z,630427,,,37210,494,12826,630427,13320,630427,13,31
20200702,MO,22283,375035,,716,,,,77,,,B,07-02-20 15:00,2020-07-02T15:00:00Z,07-02-20 11:00,1022,,2020-07-02T15:00:00Z,424214,23527,399926,22283,356,7222,397318,7578,397318,5,0
20200702,MP,30,8187,,,,,,,,19,D,6/26/2020 00:22,2020-06-26T00:22:00Z,01-06-25 20:22,2,,2020-06-26T00:22:00Z,8217,,,30,0,0,8217,0,8217,0,0
20200702,MS,28770,270269,,863,3208,167,,94,,19388,A,07-01-20 19:00,2020-07-01T19:00:00Z,07-01-20 15:00,1092,3208,2020-07-01T19:00:00Z,298842,,,28573,870,4417,299039,5287,299039,10,31
20200702,MT,1083,94066,,14,106,,,,,672,C,07-02-20 0:00,2020-07-02T00:00:00Z,07-01-20 20:00,22,106,2020-07-02T00:00:00Z,,,,1083,67,1752,95149,1819,95149,0,1
20200702,NC,68142,902978,,912,,,,,,45538,A,07-02-20 12:00,2020-07-02T12:00:00Z,07-02-20 8:00,1391,,2020-07-02T12:00:00Z,,,,68142,1629,27253,971120,28882,971120,18,0
20200702,ND,3657,104538,,19,234,,,,,3235,D,07-02-20 13:00,2020-07-02T13:00:00Z,07-02-20 9:00,78,234,2020-07-02T13:00:00Z,188414,,,3657,42,927,108195,969,108195,0,0
20200702,NE,19310,163352,,117,1343,,,,,13807,B,07-01-20 19:54,2020-07-01T19:54:00Z,07-01-20 15:54,276,1343,2020-07-01T19:54:00Z,,,,19310,133,1921,182662,2054,182662,2,13
20200702,NH,5802,114505,,32,565,,162,,,4491,B,07-01-20 9:00,2020-07-01T09:00:00Z,07-01-20 5:00,373,565,2020-07-01T09:00:00Z,,,,5802,20,1118,120307,1138,120307,2,0
20200702,NJ,172356,1291557,,1027,20141,216,,170,,30383,A+,07-02-20 13:00,2020-07-02T13:00:00Z,07-02-20 9:00,15107,20141,2020-07-02T13:00:00Z,,,,172356,428,20548,1463913,20976,1463913,29,87
20200702,NM,12276,337784,,127,1928,,,,,5514,B,07-01-20 17:50,2020-07-01T17:50:00Z,07-01-20 13:50,500,1928,2020-07-01T17:50:00Z,,,,12276,129,5750,350060,5879,350060,3,26
20200702,NV,19733,264995,,662,,196,,78,,727,A+,07-02-20 11:00,2020-07-02T11:00:00Z,07-02-20 7:00,525,,2020-07-02T11:00:00Z,341163,,,19733,632,0,284728,632,284728,14,0
20200702,NY,394954,3646639,,878,89995,209,,129,,70698,A,07-01-20 23:59,2020-07-01T23:59:00Z,07-01-20 19:59,24877,89995,2020-07-01T23:59:00Z,,,,394954,875,69070,4041593,69945,4041593,11,0
20200702,OH,52865,739140,,724,7911,244,2008,116,,38987,B,07-01-20 14:00,2020-07-01T14:00:00Z,07-01-20 10:00,2876,7911,2020-07-01T14:00:00Z,,,,49263,0,0,792005,0,792005,0,0
20200702,OK,14539,338511,,368,1615,163,,,,11048,A+,07-02-20 8:00,2020-07-02T08:00:00Z,07-02-20 4:00,395,1615,2020-07-02T08:00:00Z,355200,15918,338511,14539,427,6310,353050,6737,353050,6,62
20200702,OR,9294,241760,,173,1069,52,,25,,2759,A+,07-02-20 3:01,2020-07-02T03:01:00Z,07-01-20 23:01,209,1069,2020-07-02T03:01:00Z,,,241760,8877,363,7331,251054,7694,251054,1,14
20200702,PA,88074,702199,,631,,,,106,,68697,A+,07-02-20 0:00,2020-07-02T00:00:00Z,07-01-20 20:00,6712,,2020-07-02T00:00:00Z,,,,85573,832,12637,790273,13469,790273,63,0
20200702,PR,7608,,,97,,8,,3,,,C,07-02-20 6:30,2020-07-02T06:30:00Z,07-02-20 2:30,153,,2020-07-02T06:30:00Z,61515,,,1767,71,0,7608,71,7608,0,0
20200702,RI,16941,231327,,67,2011,11,,10,,1644,A+,07-02-20 12:00,2020-07-02T12:00:00Z,07-02-20 8:00,959,2011,2020-07-02T12:00:00Z,,,,16941,88,3965,248268,4053,248268,3,4
20200702,SC,39701,361700,,1125,2854,,,,,15471,A,07-02-20 14:00,2020-07-02T14:00:00Z,07-02-20 10:00,784,2854,2020-07-02T14:00:00Z,401287,50746,350541,39587,1782,9747,401401,11529,401401,18,0
20200702,SD,6893,75048,,64,683,,,,,5982,B,07-01-20 18:00,2020-07-01T18:00:00Z,07-01-20 14:00,97,683,2020-07-01T18:00:00Z,,,,6893,67,931,81941,998,81941,4,9
20200702,TN,46890,791564,,632,2775,,,,,28938,B,07-02-20 15:00,2020-07-02T15:00:00Z,07-02-20 11:00,620,2775,2020-07-02T15:00:00Z,838084,54471,783613,46520,1575,18993,838454,20568,838454,11,60
20200702,TX,175977,1799826,,7382,,,,,,90720,B,07-02-20 16:40,2020-07-02T16:40:00Z,07-02-20 12:40,2525,,2020-07-02T16:40:00Z,1975803,,,,7915,45940,1975803,53855,1975803,44,0
20200702,UT,23270,323116,,229,1505,81,430,,190,13076,A+,07-02-20 11:31,2020-07-02T11:31:00Z,07-02-20 7:31,176,1505,2020-07-02T11:31:00Z,,,,23270,554,2474,346386,3028,346386,3,29
20200702,VA,63735,610521,343,888,9384,206,,95,,8496,A+,07-01-20 17:00,2020-07-01T17:00:00Z,07-01-20 13:00,1816,9384,2020-07-01T17:00:00Z,671560,,,61039,532,15091,674256,15623,674256,30,361
20200702,VI,92,2924,39,,,,,,,75,C,07-01-20 21:36,2020-07-01T21:36:00Z,07-01-20 17:36,6,,2020-07-01T21:36:00Z,,,,92,2,48,3016,50,3016,0,0
20200702,VT,1227,66114,,21,,,,,,960,B,07-02-20 0:00,2020-07-02T00:00:00Z,07-01-20 20:00,56,,2020-07-02T00:00:00Z,,,,1227,17,1032,67341,1049,67341,0,0
20200702,WA,33435,538529,,311,4402,,,57,,,B,07-01-20 2:59,2020-07-01T02:59:00Z,01-06-30 22:59,1339,4402,2020-07-01T02:59:00Z,,,,33435,611,14078,571964,14689,571964,7,41
20200702,WI,32809,563946,143,236,3519,74,763,,,23527,A+,07-02-20 16:00,2020-07-02T16:00:00Z,07-02-20 12:00,800,3519,2020-07-02T16:00:00Z,,,,29738,584,12339,596755,12923,596755,7,37
20200702,WV,3053,175288,,23,,10,,5,,2380,B,07-02-20 17:00,2020-07-02T17:00:00Z,07-02-20 13:00,93,,2020-07-02T17:00:00Z,,,,2949,121,4868,178341,4989,178341,0,0
20200702,WY,1550,33693,,9,119,,,,,1139,B,07-02-20 17:52,2020-07-02T17:52:00Z,07-02-20 13:52,20,119,2020-07-02T17:52:00Z,47932,1342,46589,1233,36,1508,35243,1544,35243,0,2
20200701,AK,978,113422,,20,,,,2,,528,A,07-01-20 0:00,2020-07-01T00:00:00Z,01-06-30 20:00,14,,2020-07-01T00:00:00Z,114400,,,,38,2177,114400,2215,114400,0,0
20200701,AL,38962,374991,,797,2803,,814,,464,18866,B,07-01-20 11:00,2020-07-01T11:00:00Z,07-01-20 7:00,972,2803,2020-07-01T11:00:00Z,,,,38442,917,6384,413953,7301,413953,22,34
20200701,AR,21197,293661,,275,1448,,,72,224,15163,A,07-01-20 14:36,2020-07-01T14:36:00Z,07-01-20 10:36,277,1448,2020-07-01T14:36:00Z,,,,21197,420,3235,314858,3655,314858,7,35
20200701,AS,0,696,,,,,,,,,C,6/27/2020 00:00,2020-06-27T00:00:00Z,01-06-26 20:00,0,,2020-06-27T00:00:00Z,,,,,0,0,696,0,696,0,0
20200701,AZ,84092,465504,,2876,4837,675,,466,,9715,A+,07-01-20 0:00,2020-07-01T00:00:00Z,01-06-30 20:00,1720,4837,2020-07-01T00:00:00Z,549149,,,83645,4877,12363,549596,17240,549596,88,101
20200701,CA,232657,4021519,,6612,,1859,,,,,B,07-01-20 0:00,2020-07-01T00:00:00Z,01-06-30 20:00,6090,,2020-07-01T00:00:00Z,4254176,,,232657,9740,77297,4254176,87037,4254176,110,0
